un1,un2,un3,un4,un5,un6,line
"0","964526","32496","0","3","-15","116.3917711975547600 39.9919656116425560 -15.0000000000000000, 116.3917761547917800 39.9919472252026150 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3917761547917800 39.9919472252026150 -15.0000000000000000, 116.3917928111535100 39.9919441302484270 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3917928111535100 39.9919441302484270 -15.0000000000000000, 116.3918112130798200 39.9919399246157640 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3918112130798200 39.9919399246157640 -15.0000000000000000, 116.3918136273858900 39.9919510310128670 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3918136273858900 39.9919510310128670 -15.0000000000000000, 116.3918395971633000 39.9919438135548620 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3917928111535100 39.9919441302484270 -15.0000000000000000, 116.3917940255053100 39.9916154668867210 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3917940255053100 39.9916154668867210 -15.0000000000000000, 116.3917838964230800 39.9916158329073570 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3917838964230800 39.9916158329073570 -15.0000000000000000, 116.3917838964230800 39.9916029648250560 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3917940255053100 39.9916154668867210 -15.0000000000000000, 116.3917968022404600 39.9913183524685820 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3917968022404600 39.9913183524685820 -15.0000000000000000, 116.3917964762409700 39.9913012432215350 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3917964762409700 39.9913012432215350 -15.0000000000000000, 116.3917266763038500 39.9913042866283770 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3917968022404600 39.9913183524685820 -15.0000000000000000, 116.3917704097713000 39.9913192165623530 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3917704097713000 39.9913192165623530 -15.0000000000000000, 116.3917704097713000 39.9913445941387310 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3917964762409700 39.9913012432215350 -15.0000000000000000, 116.3917972152625400 39.9909895499016770 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3918395971633000 39.9919438135548620 -15.0000000000000000, 116.3920740897604700 39.9918633355849240 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3918395971633000 39.9919438135548620 -15.0000000000000000, 116.3918345579081100 39.9919267024829070 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3918345579081100 39.9919267024829070 -15.0000000000000000, 116.3918571103181600 39.9919211744518110 -15.0000000000000000"
"0","964526","32496","0","3","-15","116.3920740897604700 39.9918633355849240 -15.0000000000000000, 116.3920693707367200 39.9918498906786870 -15.0000000000000000"
